"draft_year","player_name","ppg","team_name","college_name"
1989,"Glen Rice","18.30","Miami Heat","Michigan"
1990,"Derrick Coleman","16.50","New Jersey Nets","Syracuse"
1991,"Larry Johnson","16.20","Charlotte Hornets","UNLV"
1992,"Shaquille O'Neal","23.70","Orlando Magic","LSU"
1993,"Chris Webber","20.70","Orlando Magic","Michigan"
1994,"Glenn Robinson","20.70","Milwaukee Bucks","Purdue"
1995,"Kevin Garnett","17.80","Minnesota Timberwolves","None/International"
1996,"Allen Iverson","26.70","Philadelphia 76ers","Georgetown"
1997,"Tracy McGrady","19.60","Toronto Raptors","None/International"
1998,"Dirk Nowitzki","20.70","Milwaukee Bucks","None/International"
1999,"Steve Francis","18.10","Vancouver Grizzlies","Maryland"
2000,"Michael Redd","19.00","Milwaukee Bucks","Ohio State"
2001,"Gilbert Arenas","20.70","Golden State Warriors","Arizona"
2002,"Yao Ming","19.00","Houston Rockets","None/International"
2003,"LeBron James","27.10","Cleveland Cavaliers","None/International"
2004,"Kevin Martin","17.40","Sacramento Kings","Western Carolina University"
2005,"Chris Paul","18.10","New Orleans Hornets","Wake Forest"
2006,"LaMarcus Aldridge","19.10","Chicago Bulls","Texas"
2007,"Kevin Durant","27.20","Seattle SuperSonics","Texas"
2008,"Russell Westbrook","22.80","Seattle SuperSonics","UCLA"
2009,"James Harden","24.90","Oklahoma City Thunder","Arizona State"
2010,"Paul George","20.40","Indiana Pacers","Fresno State"
2011,"Kyrie Irving","23.10","Cleveland Cavaliers","Duke"
2012,"Damian Lillard","24.60","Portland Trail Blazers","Weber State"
2013,"Giannis Antetokounmpo","21.80","Milwaukee Bucks","None/International"
2014,"Joel Embiid","26.00","Philadelphia 76ers","Kansas"
2015,"Devin Booker","23.50","Phoenix Suns","Kentucky"
2016,"Brandon Ingram","18.50","Los Angeles Lakers","Duke"
2017,"Donovan Mitchell","23.90","Denver Nuggets","Louisville"
2018,"Luka Dončić","26.40","Atlanta Hawks","None/International"
2019,"Zion Williamson","25.70","New Orleans Pelicans","Duke"
2020,"Anthony Edwards","20.30","Minnesota Timberwolves","Georgia"
2021,"Cade Cunningham","17.40","Detroit Pistons","Oklahoma State"
